model,cv_folds,subset,accuracy_mean,accuracy_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Logistic Regression,5,full dataset n=49936,0.5623198463970323,0.003433951925385716,0.29207423677535127,0.00503813031484263,0.5926812760220892,0.007248116079783333
Random Forest,5,full dataset n=49936,0.8699735988382814,0.0030307850727908934,0.5445131623196733,0.010389740702846978,0.8382689921858187,0.005713766707208494
SVM,5,stratified subsample n=15000,0.6474666666666666,0.009625429283356086,0.33958866596267095,0.007294320335866892,0.66429057236119,0.007978736773370788
