feature,train_mean,test_mean,mean_delta,train_std,test_std,std_mean_difference
Month,2.3007159307099228,3.9103924709651583,1.6096765402552355,0.7076464375903881,0.28561866146159254,2.983078911299058
Season_enc,0.5540452588364875,0.0,-0.5540452588364875,0.4970705281922245,0.0,1.5763121625108028
DayOfWeek,3.0383498548112544,2.7537044453344013,-0.28464540947685313,1.9816625047490493,1.947861465993181,0.14486990360634852
IsWeekend,0.2892760588765395,0.23868642370845014,-0.05058963516808937,0.45342631224642926,0.42628067613453974,0.11496002085071523
PrimaryType_enc,12.696780815059578,12.079495394473367,-0.6172854205862102,10.341703860616166,10.369180872182278,0.059609706229681494
Hour,12.584209472314008,12.79595514617541,0.21174567386140275,6.62683426648747,6.729752085667942,0.031705614376799536
IsNight,0.2581606087914289,0.2661193432118542,0.007958734420425329,0.43762279289345485,0.4419274130220318,0.018097066098914028
LocationDesc_enc,69.34494843296285,69.8820584701642,0.5371100372013444,33.89466356151329,33.80842969423237,0.015866619254414245
Longitude,-87.66779796113858,-87.66705414120234,0.0007438199362326259,0.05899610570172814,0.05824123125984782,0.012688867506185808
Domestic_enc,0.19317612896765796,0.19663596315578694,0.0034598341881289796,0.394789959554101,0.3974547284277581,0.008734207169091606
Latitude,41.8471658816901,41.84764228860844,0.00047640691833805704,0.0857664191415269,0.08514362822409269,0.0055749063642039276
Community Area,35.94327625913688,36.00100120144173,0.05772494230485137,21.322421906970433,21.46052804839008,0.0026984881411328695
District,11.234579953940122,11.243291950340408,0.008711996400286637,7.098423958231059,7.021256134147853,0.0012340033536539557
Year,2026.0,2026.0,0.0,0.0,0.0,0.0
