,Accuracy,Precision,Recall,F1,ROC-AUC,Train Time (s)
Logistic Regression,0.5620744893872647,0.19415179531283594,0.5905820797907129,0.2922330097087379,0.5882070644143478,1.99
Random Forest,0.8733480176211453,0.6191335740072202,0.4486592544146501,0.5202882062950323,0.8170293349732728,6.79
SVM,0.6596916299559471,0.2392638036809816,0.5611510791366906,0.33548387096774196,0.6529011441407332,401.52
Random Forest (Calibrated),0.8656387665198237,0.5746209098164405,0.4708960104643558,0.5176132278936018,0.8095615437708191,0.58
