seed,silhouette,davies_bouldin
11,0.41337010470464364,0.7832395372625338
21,0.4084451185312675,0.7949830579423122
42,0.41345475920544006,0.7729175104656113
84,0.41099058620116985,0.7832859496474448
126,0.4114591481810611,0.7827276684938969
